t	X_sc	U	Y_z_pred	Y_u_sc
240	-0.23835361003875732,-1.227124810218811,-2.2119336128234863,-2.9919168949127197,-3.168700695037842	3.7,-0.0050000000000000044,4.0	-24.170640110969543,-123.10872077941895,-221.58961296081543,-299.5269536972046,-317.2663450241089	1.160783290863037,1.1648671627044678,1.1630146503448486,0.8922863602638245,0.41368725895881653
240	-0.24170640110969543,-1.2310872077941895,-2.2158961296081543,-2.995269536972046,-3.172663450241089	3.68,-0.02750000000000008,4.0	-25.298398733139038,-123.47449064254761,-221.98584079742432,-299.9232053756714,-317.7540063858032	1.1441999673843384,1.1634339094161987,1.1613632440567017,0.8913910388946533,0.41529473662376404
240	-0.2529839873313904,-1.234744906425476,-2.219858407974243,-2.999232053756714,-3.1775400638580322	3.57,-0.03499999999999992,4.0	-27.005279064178467,-124.08407926559448,-222.3820924758911,-300.34992694854736,-318.3331251144409	1.1265286207199097,1.1576043367385864,1.1596875190734863,0.8907492756843567,0.4172160029411316
240	-0.27005279064178467,-1.2408407926559448,-2.223820924758911,-3.0034992694854736,-3.183331251144409	3.43,-0.03500000000000003,4.0	-28.895041346549988,-125.05944967269897,-222.80879020690918,-300.8680820465088,-319.00367736816406	1.110608696937561,1.1466078758239746,1.1567389965057373,0.8910930156707764,0.4194573163986206
240	-0.2889504134654999,-1.2505944967269897,-2.228087902069092,-3.008680820465088,-3.1900367736816406	3.29,-0.03500000000000003,4.0	-30.876240134239197,-126.40055418014526,-223.41840267181396,-301.4167308807373,-319.79615688323975	1.0948572158813477,1.1343941688537598,1.1510332822799683,0.8916188478469849,0.42212966084480286
240	-0.30876240134239197,-1.2640055418014526,-2.2341840267181396,-3.014167308807373,-3.1979615688323975	3.15,-0.03500000000000003,3.9734202750070855	-32.918402552604675,-127.95504331588745,-224.302339553833,-302.11775302886963,-320.4667329788208	1.0786799192428589,1.1203283071517944,1.142816424369812,0.8924886584281921,0.4215462803840637
240	-0.32918402552604675,-1.2795504331588745,-2.24302339553833,-3.0211775302886963,-3.204667329788208	3.01,-0.03499999999999992,3.7558820087363403	-34.93008017539978,-129.69239950180054,-225.36911964416504,-303.0931234359741,-319.8875904083252	1.0604798793792725,1.1048146486282349,1.12995445728302,0.8958662748336792,0.3966708481311798
240	-0.3493008017539978,-1.2969239950180054,-2.2536911964416504,-3.030931234359741,-3.198875904083252	2.87,0.010000000000000009,3.752181974640338	-35.295841097831726,-131.61263465881348,-226.8016815185547,-303.3064842224121,-320.2228784561157	1.081387996673584,1.090497374534607,1.1213740110397339,0.8708300590515137,0.39731720089912415
240	-0.35295841097831726,-1.3161263465881348,-2.268016815185547,-3.033064842224121,-3.2022287845611572	2.91,0.012499999999999956,3.6257426525431575	-34.899598360061646,-133.13664197921753,-228.35617065429688,-304.15992736816406,-319.94855403900146	1.0932966470718384,1.0833690166473389,1.108091950416565,0.8653855323791504,0.3831290900707245
240	-0.34899598360061646,-1.3313664197921753,-2.2835617065429688,-3.0415992736816406,-3.1994855403900146	2.96,0.012499999999999956,3.5291057385989517	-34.350958466529846,-133.95960330963135,-230.0020933151245,-304.800009727478,-319.79615688323975	1.1024680137634277,1.0859019756317139,1.096222996711731,0.8456497192382812,0.3724239766597748
240	-0.34350958466529846,-1.3395960330963135,-2.300020933151245,-3.0480000972747803,-3.1979615688323975	3.01,0.010000000000000009,3.4578080003833565	-33.83280038833618,-134.23391580581665,-231.43463134765625,-305.4705619812012,-319.82665061950684	1.1083290576934814,1.0918470621109009,1.089857578277588,0.8252395987510681,0.3650203049182892
240	-0.3383280038833618,-1.3423391580581665,-2.3143463134765625,-3.0547056198120117,-3.1982665061950684	3.05,0.012500000000000067,3.3641505704535897	-33.16224217414856,-134.1424822807312,-232.44047164916992,-306.2325716018677,-319.8571443557739	1.115105390548706,1.097509503364563,1.0871326923370361,0.8095057606697083,0.35518473386764526
240	-0.3316224217414856,-1.341424822807312,-2.324404716491699,-3.0623257160186768,-3.1985714435577393	3.1,0.010000000000000009,3.2825924926153642	-32.583120465278625,-133.8376760482788,-233.0500841140747,-306.81169033050537,-320.0400114059448	1.1196619272232056,1.1041051149368286,1.088451862335205,0.7943159937858582,0.3471418619155884
240	-0.32583120465278625,-1.338376760482788,-2.330500841140747,-3.0681169033050537,-3.2004001140594482	3.14,-0.015000000000000013,3.1886792440242986	-32.94887840747833,-133.35000276565552,-233.32440853118896,-307.2993516921997,-320.0705051422119	1.1043047904968262,1.1100965738296509,1.0919214487075806,0.7853769063949585,0.33728528022766113
240	-0.3294887840747833,-1.3335000276565552,-2.3332440853118896,-3.072993516921997,-3.200705051422119	3.08,-0.01750000000000007,3.1460487371751062	-33.741360902786255,-133.1061601638794,-233.32440853118896,-307.5127124786377,-320.2533721923828	1.0922353267669678,1.1103706359863281,1.0975334644317627,0.7768036723136902,0.33322665095329285
240	-0.33741360902786255,-1.331061601638794,-2.3332440853118896,-3.075127124786377,-3.202533721923828	3.01,-0.019999999999999907,3.10890768355747	-34.77768003940582,-133.22807550430298,-233.14151763916016,-307.6956033706665,-320.40576934814453	1.0801467895507812,1.1041260957717896,1.1017462015151978,0.7755118012428284,0.3297116458415985
240	-0.3477768003940582,-1.3322807550430298,-2.3314151763916016,-3.076956033706665,-3.2040576934814453	2.93,-0.020000000000000018,3.0854397990714375	-35.87496280670166,-133.71576070785522,-233.0500841140747,-307.7565670013428,-320.49720287323	1.0685482025146484,1.095919132232666,1.1025665998458862,0.7764716744422913,0.32740721106529236
