t	X_sc	U	Y_z_pred	Y_u_sc
240	-0.33345121145248413,-1.340510368347168,-2.3372066020965576,-3.0793943405151367,-3.2031431198120117	3.08,0.007499999999999951,3.0284850145334983	-32.918402552604675,-133.80719423294067,-233.78159999847412,-307.9089641571045,-320.34480571746826	1.1145793199539185,1.1046168804168701,1.0950690507888794,0.7679742574691772,0.3209640681743622
240	-0.32918402552604675,-1.3380719423294067,-2.337815999984741,-3.079089641571045,-3.2034480571746826	3.11,0.0050000000000000044,3.022741135288602	-32.61360228061676,-133.50239992141724,-233.75113010406494,-307.96992778778076,-320.3143119812012	1.1166009902954102,1.10834538936615,1.097010612487793,0.7679270505905151,0.3203554153442383
240	-0.3261360228061676,-1.3350239992141724,-2.3375113010406494,-3.0796992778778076,-3.2031431198120117	3.13,0.0,3.0364285836692364	-32.4916809797287,-133.16712379455566,-233.59873294830322,-307.9394340515137,-320.40576934814453	1.1145466566085815,1.1118558645248413,1.0996066331863403,0.7668313384056091,0.3219698369503021
240	-0.324916809797287,-1.3316712379455566,-2.3359873294830322,-3.0793943405151367,-3.2040576934814453	3.13,0.0,3.022124345068584	-32.43072032928467,-132.86232948303223,-233.35487842559814,-307.96992778778076,-320.37527561187744	1.113525390625,1.1126797199249268,1.1024271249771118,0.7697188258171082,0.32040658593177795
240	-0.3243072032928467,-1.3286232948303223,-2.3335487842559814,-3.0796992778778076,-3.2037527561187744	3.13,0.0,3.041712699565017	-32.43072032928467,-132.70992040634155,-233.0805540084839,-307.84802436828613,-320.49720287323	1.113525390625,1.1138226985931396,1.1052919626235962,0.7700402736663818,0.3228437304496765
240	-0.3243072032928467,-1.3270992040634155,-2.330805540084839,-3.0784802436828613,-3.2049720287323	3.13,0.0,3.0325091286070416	-32.40023851394653,-132.587993144989,-232.83672332763672,-307.81753063201904,-320.40576934814453	1.1130152940750122,1.1135965585708618,1.1068323850631714,0.7752623558044434,0.3216518461704254
240	-0.32400238513946533,-1.3258799314498901,-2.328367233276367,-3.0781753063201904,-3.2040576934814453	3.13,0.0,3.0665288327795794	-32.40023851394653,-132.5270414352417,-232.6538324356079,-307.63466358184814,-320.52767276763916	1.1130152940750122,1.1139230728149414,1.1084060668945312,0.7757156491279602,0.32557690143585205
240	-0.32400238513946533,-1.325270414352417,-2.326538324356079,-3.0763466358184814,-3.2052767276763916	3.13,0.0050000000000000044,3.055651932267719	-32.21736252307892,-132.46608972549438,-232.5014352798462,-307.63466358184814,-320.37527561187744	1.1170611381530762,1.1130996942520142,1.1084493398666382,0.7815797924995422,0.3240114152431488
240	-0.3221736252307892,-1.3246608972549438,-2.325014352798462,-3.0763466358184814,-3.2037527561187744	3.15,0.020000000000000018,3.103745317799112	-31.39439821243286,-132.40511417388916,-232.41000175476074,-307.42130279541016,-320.58863639831543	1.1314338445663452,1.1141067743301392,1.1095776557922363,0.7797508239746094,0.32966625690460205
240	-0.3139439821243286,-1.3240511417388916,-2.3241000175476074,-3.0742130279541016,-3.2058863639831543	3.23,0.01749999999999996,3.068443164062215	-30.44952154159546,-132.10031986236572,-232.2880744934082,-307.5432062149048,-320.3143119812012	1.1398340463638306,1.1190358400344849,1.108289361000061,0.7872682213783264,0.32512426376342773
240	-0.3044952154159546,-1.3210031986236572,-2.322880744934082,-3.075432062149048,-3.2031431198120117	3.3,0.020000000000000018,3.124114899285937	-29.413199424743652,-131.55168294906616,-232.19664096832275,-307.26890563964844,-320.52767276763916	1.149765133857727,1.1272962093353271,1.1111353635787964,0.7816981077194214,0.33162760734558105
240	-0.2941319942474365,-1.3155168294906616,-2.3219664096832275,-3.0726890563964844,-3.2052767276763916	3.38,0.01750000000000007,3.1066832513190983	-28.376880288124084,-130.78967332839966,-231.89184665679932,-307.39080905914307,-320.40576934814453	1.1559170484542847,1.135553002357483,1.1142809391021729,0.7886807918548584,0.32949966192245483
240	-0.28376880288124084,-1.3078967332839966,-2.318918466567993,-3.0739080905914307,-3.2040576934814453	3.45,0.01749999999999996,3.141894849302564	-27.40151882171631,-129.90576028823853,-231.43463134765625,-307.20794200897217,-320.58863639831543	1.1627923250198364,1.1438931226730347,1.1206448078155518,0.7875049114227295,0.3337022662162781
240	-0.2740151882171631,-1.2990576028823853,-2.3143463134765625,-3.0720794200897217,-3.2058863639831543	3.52,0.020000000000000018,3.1441483563940555	-26.30423903465271,-128.96088361740112,-230.7945728302002,-307.146954536438,-320.58863639831543	1.170577883720398,1.1506346464157104,1.1272847652435303,0.7948934435844421,0.333914577960968
240	-0.2630423903465271,-1.2896088361740112,-2.307945728302002,-3.07146954536438,-3.2058863639831543	3.6,0.03249999999999997,3.181817933423602	-24.719280004501343,-127.98551321029663,-230.06303310394287,-306.87263011932373,-320.74103355407715	1.1857670545578003,1.158263087272644,1.1351404190063477,0.7995367646217346,0.33836573362350464
240	-0.24719280004501343,-1.2798551321029663,-2.3006303310394287,-3.0687263011932373,-3.2074103355407715	3.73,0.04749999999999999,3.1877191211127887	-22.43328094482422,-126.82727575302124,-229.20961380004883,-306.6288232803345,-320.6496238708496	1.2067875862121582,1.1682696342468262,1.1419799327850342,0.8097096681594849,0.33875417709350586
240	-0.2243328094482422,-1.2682727575302124,-2.2920961380004883,-3.0662882328033447,-3.206496238708496	3.92,0.050000000000000044,3.2163197756955717	-19.84248161315918,-125.27281045913696,-228.23424339294434,-306.2325716018677,-320.55816650390625	1.223798394203186,1.1834220886230469,1.1497881412506104,0.817177951335907,0.34147781133651733
240	-0.1984248161315918,-1.2527281045913696,-2.2823424339294434,-3.0623257160186768,-3.2055816650390625	4.12,0.050000000000000044,3.2252223504589126	-17.12975949048996,-123.26112985610962,-227.07600593566895,-305.7753562927246,-320.2228784561157	1.2369095087051392,1.1993775367736816,1.1598478555679321,0.827495276927948,0.34151074290275574
240	-0.1712975949048996,-1.2326112985610962,-2.2707600593566895,-3.057753562927246,-3.2022287845611572	4.32,0.047499999999999876,3.2792680589550898	-14.47799950838089,-120.97512483596802,-225.6129503250122,-305.0438642501831,-320.00951766967773	1.246579647064209,1.2155733108520508,1.173506736755371,0.8344250321388245,0.3466341197490692
240	-0.1447799950838089,-1.2097512483596802,-2.256129503250122,-3.050438642501831,-3.2000951766967773	4.51,0.04500000000000015,3.323233919039835	-11.917680501937866,-118.50624084472656,-223.78416061401367,-304.2818307876587,-319.58279609680176	1.2537100315093994,1.2287677526474,1.1879758834838867,0.8481906056404114,0.35008424520492554
240	-0.11917680501937866,-1.1850624084472656,-2.2378416061401367,-3.042818307876587,-3.1958279609680176	4.69,-0.0625,3.4410344424180055	-13.075919449329376,-115.94592332839966,-221.68104648590088,-303.18455696105957,-319.4913864135742	1.2047641277313232,1.2401586771011353,1.2031052112579346,0.8601513504981995,0.36225032806396484
240	-0.13075919449329376,-1.1594592332839966,-2.216810464859009,-3.0318455696105957,-3.194913864135742	4.44,-0.06500000000000017,3.59048964876201	-15.63623994588852,-114.69624042510986,-219.39504146575928,-302.05678939819336,-319.58279609680176	1.1730762720108032,1.2279067039489746,1.2172517776489258,0.881408154964447,0.37821313738822937
240	-0.1563623994588852,-1.1469624042510986,-2.1939504146575928,-3.0205678939819336,-3.1958279609680176	4.18,-0.06249999999999989,3.8133047051544655	-18.74520033597946,-114.97056484222412,-217.38336086273193,-300.8375883102417,-320.1314449310303	1.1499104499816895,1.2080456018447876,1.221840739250183,0.9040207862854004,0.4034801423549652
240	-0.18745200335979462,-1.1497056484222412,-2.1738336086273193,-3.008375883102417,-3.2013144493103027	3.93,-0.0625,3.9880499216699055	-22.09800034761429,-116.31168127059937,-216.22512340545654,-299.95367527008057,-320.6191301345825	1.1274967193603516,1.186983585357666,1.2144964933395386,0.9336543679237366,0.42365729808807373
240	-0.22098000347614288,-1.1631168127059937,-2.1622512340545654,-2.9995367527008057,-3.206191301345825	3.68,-0.0625,4.0	-25.603199005126953,-118.35384368896484,-215.95079898834229,-299.4964838027954,-320.00951766967773	1.1040669679641724,1.165271520614624,1.1990495920181274,0.9579153656959534,0.4228535294532776
240	-0.25603199005126953,-1.1835384368896484,-2.159507989883423,-2.994964838027954,-3.2000951766967773	3.43,-0.0625,4.0	-29.260799288749695,-120.91416120529175,-216.62135124206543,-299.03926849365234,-319.0951108932495	1.0792025327682495,1.1447975635528564,1.1838666200637817,0.9593505263328552,0.41976433992385864
240	-0.29260799288749695,-1.2091416120529175,-2.1662135124206543,-2.9903926849365234,-3.190951108932495	3.18,-0.0050000000000000044,4.0	-30.78480064868927,-123.87073040008545,-217.9929494857788,-298.764967918396,-318.11976432800293	1.0968855619430542,1.1229220628738403,1.1675796508789062,0.9498843550682068,0.4165066182613373
240	-0.3078480064868927,-1.2387073040008545,-2.179929494857788,-2.98764967918396,-3.1811976432800293	3.16,0.0024999999999999467,4.0	-31.27247989177704,-126.5224814414978,-219.9436902999878,-298.7954616546631,-317.3882484436035	1.1083766222000122,1.112676739692688,1.1506905555725098,0.9332491755485535,0.41408824920654297
240	-0.3127247989177704,-1.265224814414978,-2.199436902999878,-2.987954616546631,-3.173882484436035	3.17,0.0025000000000000577,4.0	-31.424880027770996,-128.4122347831726,-222.1992015838623,-299.1611957550049,-317.0224905014038	1.1143999099731445,1.1109726428985596,1.1351499557495117,0.9126026630401611,0.41288691759109497
240	-0.31424880027770996,-1.284122347831726,-2.221992015838623,-2.991611957550049,-3.170224905014038	3.18,0.0,4.0	-31.54679834842682,-129.63143587112427,-224.36327934265137,-299.8622417449951,-317.1748876571655	1.1164273023605347,1.1124989986419678,1.1241294145584106,0.8903836011886597,0.41338688135147095
240	-0.3154679834842682,-1.2963143587112427,-2.2436327934265137,-2.998622417449951,-3.1717488765716553	3.18,0.0024999999999999467,4.0	-31.485840678215027,-130.39343357086182,-226.1920928955078,-300.8680820465088,-317.90640354156494	1.1189231872558594,1.1139533519744873,1.1172168254852295,0.8712151646614075,0.415799081325531
240	-0.31485840678215027,-1.3039343357086182,-2.261920928955078,-3.008680820465088,-3.1790640354156494	3.19,-0.0050000000000000044,4.0	-31.699198484420776,-130.85064888000488,-227.65512466430664,-302.08728313446045,-319.18656826019287	1.1154471635818481,1.1161788702011108,1.113845944404602,0.8576701879501343,0.4200717806816101
240	-0.31699198484420776,-1.3085064888000488,-2.2765512466430664,-3.0208728313446045,-3.1918656826019287	3.17,-0.03249999999999997,3.897366386192832	-32.97936022281647,-131.09447956085205,-228.72192859649658,-303.58080863952637,-320.2228784561157	1.0904393196105957,1.1157323122024536,1.1108587980270386,0.8544121980667114,0.4126721918582916
240	-0.3297936022281647,-1.3109447956085205,-2.287219285964966,-3.0358080863952637,-3.2022287845611572	3.04,-0.03249999999999997,3.52761497806404	-34.625282883644104,-131.61263465881348,-229.4229507446289,-305.10480403900146,-319.43039894104004	1.070255160331726,1.1064828634262085,1.1060773134231567,0.8562203049659729,0.371227502822876
240	-0.34625282883644104,-1.3161263465881348,-2.294229507446289,-3.0510480403900146,-3.1943039894104004	2.91,-0.03500000000000003,3.5915755961523668	-36.63696050643921,-132.64896869659424,-230.15449047088623,-305.0438642501831,-320.58863639831543	1.0508768558502197,1.0970840454101562,1.109879970550537,0.8184237480163574,0.3814953863620758
240	-0.3663696050643921,-1.3264896869659424,-2.3015449047088623,-3.050438642501831,-3.2058863639831543	2.77,-0.03249999999999997,3.2924737790961895	-38.58768045902252,-133.99007320404053,-230.82504272460938,-306.29351139068604,-319.58279609680176	1.0326740741729736,1.0770595073699951,1.1004186868667603,0.8341805338859558,0.3468184769153595
240	-0.3858768045902252,-1.3399007320404053,-2.3082504272460938,-3.0629351139068604,-3.1958279609680176	2.64,-0.032500000000000084,3.370326651362393	-41.0260796546936,-135.66648960113525,-231.86135292053223,-305.89728355407715,-320.3143119812012	1.0208234786987305,1.0642133951187134,1.095465898513794,0.7990928292274475,0.35712796449661255
240	-0.41026079654693604,-1.3566648960113525,-2.3186135292053223,-3.0589728355407715,-3.2031431198120117	2.51,-0.03249999999999997,3.1436561359213386	-43.58640015125275,-137.49529123306274,-232.98912048339844,-306.93359375,-319.3389654159546	1.0092575550079346,1.0407804250717163,1.0801913738250732,0.8083178997039795,0.33057957887649536
240	-0.43586400151252747,-1.3749529123306274,-2.3298912048339844,-3.0693359375,-3.193389654159546	2.38,-0.03499999999999992,3.2707664147511206	-46.4819997549057,-139.38504457473755,-234.5740795135498,-306.6288232803345,-320.2228784561157	0.9969990253448486,1.0333611965179443,1.0694291591644287,0.7717194557189941,0.3463819921016693
240	-0.464819997549057,-1.3938504457473755,-2.345740795135498,-3.0662882328033447,-3.2022287845611572	2.24,-0.032500000000000084,3.117606563453752	-49.164241552352905,-141.4881706237793,-236.15903854370117,-307.8784704208374,-319.82665061950684	0.9833384156227112,1.0213842391967773,1.0495383739471436,0.7794149518013,0.32913047075271606
240	-0.49164241552352905,-1.414881706237793,-2.3615903854370117,-3.078784704208374,-3.1982665061950684	2.11,-0.03249999999999997,3.129932787243861	-52.029359340667725,-143.83511543273926,-237.77449131011963,-308.3051919937134,-320.4667329788208	0.9704612493515015,1.01313054561615,1.0360054969787598,0.7493442893028259,0.3321015238761902
240	-0.5202935934066772,-1.4383511543273926,-2.3777449131011963,-3.083051919937134,-3.204667329788208	1.98,-0.034999999999999976,3.0160990606647804	-54.924964904785156,-146.24303579330444,-239.42041397094727,-309.46342945098877,-320.58863639831543	0.9503283500671387,1.000173807144165,1.0239980220794678,0.7415459752082825,0.3203200101852417
240	-0.5492496490478516,-1.4624303579330444,-2.3942041397094727,-3.0946342945098877,-3.2058863639831543	1.84,-0.03250000000000003,2.8999755113001817	-57.82055854797363,-148.8033652305603,-241.31016731262207,-310.3168725967407,-320.77152729034424	0.9320971965789795,0.9871776103973389,1.0144273042678833,0.721110999584198,0.3084541857242584
240	-0.5782055854797363,-1.488033652305603,-2.4131016731262207,-3.1031687259674072,-3.2077152729034424	1.71,-0.03249999999999997,2.7980719001996586	-60.68568229675293,-151.51609182357788,-243.3523178100586,-311.1093521118164,-320.9848880767822	0.909858226776123,0.9732837080955505,1.003503680229187,0.7007659673690796,0.2981175184249878
240	-0.6068568229675293,-1.5151609182357788,-2.433523178100586,-3.111093521118164,-3.2098488807678223	1.58,0.007500000000000007,2.5620558979003354	-61.203837394714355,-154.22879457473755,-245.57735919952393,-312.20664978027344,-320.3143119812012	0.9366505146026611,0.9537444114685059,0.9905391931533813,0.68510901927948,0.2715020477771759
240	-0.6120383739471436,-1.5422879457473755,-2.4557735919952393,-3.1220664978027344,-3.2031431198120117	1.61,0.012499999999999956,2.4975822320489347	-60.777121782302856,-156.85007572174072,-248.01576137542725,-312.2980833053589,-320.52767276763916	0.9577403664588928,0.9457931518554688,0.9799955487251282,0.6457239389419556,0.2651746869087219
240	-0.6077712178230286,-1.5685007572174072,-2.4801576137542725,-3.122980833053589,-3.2052767276763916	1.66,0.012500000000000011,2.2070684604350013	-59.893202781677246,-158.4350347518921,-250.45416355133057,-313.30392360687256,-319.27802562713623	0.9698212146759033,0.9414814114570618,0.9628210663795471,0.6355978846549988,0.23194429278373718
240	-0.5989320278167725,-1.584350347518921,-2.5045416355133057,-3.1330392360687256,-3.1927802562713623	1.71,0.012500000000000011,2.252037949015907	-59.07024145126343,-159.37992334365845,-253.01446914672852,-312.8162384033203,-319.64378356933594	0.9825165867805481,0.9529424905776978,0.9584927558898926,0.5795781016349792,0.23736850917339325
240	-0.5907024145126343,-1.5937992334365845,-2.530144691467285,-3.128162384033203,-3.1964378356933594	1.76,0.010000000000000009,2.0954878028061934	-58.15584063529968,-159.4713568687439,-255.02614974975586,-313.822078704834,-319.1560745239258	0.9874954223632812,0.9589316844940186,0.9497220516204834,0.5732269883155823,0.21995878219604492
240	-0.5815584063529968,-1.594713568687439,-2.5502614974975586,-3.13822078704834,-3.191560745239258	1.8,0.012500000000000011,2.0915413456241394	-57.24143981933594,-159.22752618789673,-256.58063888549805,-313.91351222991943,-319.5523262023926	0.9975717663764954,0.9705978631973267,0.949074923992157,0.5359758734703064,0.22034229338169098
240	-0.5724143981933594,-1.5922752618789673,-2.5658063888549805,-3.1391351222991943,-3.195523262023926	1.85,0.012499999999999956,1.9624263472845858	-56.20511770248413,-158.64839553833008,-257.49504566192627,-314.7059917449951,-319.46089267730713	1.0048924684524536,0.9771910905838013,0.9496234655380249,0.5286083817481995,0.2064984291791916
240	-0.5620511770248413,-1.5864839553833008,-2.5749504566192627,-3.147059917449951,-3.1946089267730713	1.9,0.012500000000000011,1.9414080801898153	-55.229759216308594,-157.9473614692688,-257.9827070236206,-314.7974491119385,-319.8571443557739	1.0128999948501587,0.9876294732093811,0.9562912583351135,0.5055425763130188,0.20493865013122559
240	-0.5522975921630859,-1.579473614692688,-2.579827070236206,-3.1479744911193848,-3.1985714435577393	1.95,0.012500000000000011,1.8479962712039983	-54.16296124458313,-157.09391832351685,-257.9827070236206,-315.2851104736328,-319.8571443557739	1.0187811851501465,0.9949292540550232,0.961963951587677,0.5048602819442749,0.19511936604976654
240	-0.5416296124458313,-1.5709391832351685,-2.579827070236206,-3.152851104736328,-3.1985714435577393	2.0,0.007499999999999951,1.8405006496006524	-53.43143939971924,-156.2100052833557,-257.70840644836426,-315.25466442108154,-320.16191482543945	1.0204201936721802,1.0043407678604126,0.9708256125450134,0.49446138739585876,0.19485676288604736
240	-0.5343143939971924,-1.5621000528335571,-2.5770840644836426,-3.1525466442108154,-3.2016191482543945	2.03,0.010000000000000009,1.7990892226853645	-52.60847806930542,-155.26511669158936,-257.1902275085449,-315.43753147125244,-320.19240856170654	1.0252246856689453,1.009840726852417,0.9789896607398987,0.4999248683452606,0.19045807421207428
240	-0.5260847806930542,-1.5526511669158936,-2.571902275085449,-3.1543753147125244,-3.2019240856170654	2.07,0.007500000000000062,1.8139965522119847	-51.9379198551178,-154.44215536117554,-256.4892053604126,-315.2851104736328,-320.37527561187744	1.0276827812194824,1.0161432027816772,0.9874711036682129,0.49961623549461365,0.19232876598834991
240	-0.519379198551178,-1.5444215536117554,-2.564892053604126,-3.152851104736328,-3.2037527561187744	2.1,0.010000000000000009,1.812164467072874	-51.17592215538025,-153.61920595169067,-255.6967258453369,-315.25466442108154,-320.40576934814453	1.0331896543502808,1.0200475454330444,0.9943639039993286,0.5087791085243225,0.1921638548374176
240	-0.5117592215538025,-1.5361920595169067,-2.556967258453369,-3.1525466442108154,-3.2040576934814453	2.14,0.007499999999999951,1.8440861882289208	-50.50535798072815,-152.82671451568604,-254.90424633026123,-315.0717496871948,-320.49720287323	1.0353513956069946,1.0246034860610962,1.0009491443634033,0.514685869216919,0.1957014501094818
240	-0.5050535798072815,-1.5282671451568604,-2.5490424633026123,-3.1507174968719482,-3.2049720287323	2.17,0.010000000000000009,1.8672389578500999	-49.712881445884705,-152.0647168159485,-254.08129692077637,-314.9498462677002,-320.52767276763916	1.0399082899093628,1.0283348560333252,1.0061722993850708,0.525094211101532,0.19819097220897675
240	-0.49712881445884705,-1.5206471681594849,-2.5408129692077637,-3.149498462677002,-3.2052767276763916	2.21,0.010000000000000009,1.8974772952040735	-48.92040193080902,-151.33320093154907,-253.2583236694336,-314.7669553756714,-320.52767276763916	1.0442436933517456,1.032331109046936,1.010751724243164,0.5336174964904785,0.20137566328048706
240	-0.4892040193080902,-1.5133320093154907,-2.532583236694336,-3.147669553756714,-3.2052767276763916	2.25,0.007499999999999951,1.9337145112263265	-48.219361901283264,-150.5407214164734,-252.4658441543579,-314.5535945892334,-320.55816650390625	1.0454336404800415,1.0360654592514038,1.0149304866790771,0.5423369407653809,0.20535379648208618
240	-0.48219361901283264,-1.5054072141647339,-2.524658441543579,-3.145535945892334,-3.2055816650390625	2.28,0.010000000000000009,1.9666472956915062	-47.45736122131348,-149.80920553207397,-251.67336463928223,-314.3707275390625,-320.52767276763916	1.049967646598816,1.0398154258728027,1.0187610387802124,0.5516180992126465,0.20880651473999023
240	-0.47457361221313477,-1.4980920553207397,-2.5167336463928223,-3.143707275390625,-3.2052767276763916	2.32,-0.0050000000000000044,2.013660248841829	-47.42687940597534,-149.04719591140747,-250.88088512420654,-314.1268730163574,-320.58863639831543	1.0403472185134888,1.0435187816619873,1.0224738121032715,0.5594267249107361,0.21390071511268616
240	-0.4742687940597534,-1.4904719591140747,-2.5088088512420654,-3.141268730163574,-3.2058863639831543	2.3,-0.007499999999999951,2.0464550381413456	-47.76216149330139,-148.40712547302246,-250.11889934539795,-313.9744758605957,-320.55816650390625	1.0326807498931885,1.0434468984603882,1.0260088443756104,0.5697652101516724,0.21724604070186615
240	-0.4776216149330139,-1.4840712547302246,-2.5011889934539795,-3.139744758605957,-3.2055816650390625	2.27,-0.007499999999999951,2.1097432432258025	-48.280319571495056,-148.10233116149902,-249.35686588287354,-313.73064517974854,-320.74103355407715	1.0281416177749634,1.0411224365234375,1.0295251607894897,0.5765880942344666,0.22437188029289246
240	-0.48280319571495056,-1.4810233116149902,-2.4935686588287354,-3.1373064517974854,-3.2074103355407715	2.24,-0.0050000000000000044,2.125102937895559	-48.6765593290329,-148.07183742523193,-248.6863374710083,-313.70015144348145,-320.71056365966797	1.0259555578231812,1.036391019821167,1.0297927856445312,0.5897918343544006,0.2259114682674408
240	-0.486765593290329,-1.4807183742523193,-2.486863374710083,-3.1370015144348145,-3.2071056365966797	2.22,-0.007500000000000062,2.156991465171954	-49.225202202796936,-148.2547163963318,-248.19862842559814,-313.48679065704346,-320.71056365966797	1.0217536687850952,1.0335139036178589,1.028615951538086,0.5951666831970215,0.2293134331703186
240	-0.49225202202796936,-1.4825471639633179,-2.4819862842559814,-3.1348679065704346,-3.2071056365966797	2.19,0.0050000000000000044,2.1673970481973783	-49.164241552352905,-148.52904081344604,-247.9548215866089,-313.3648872375488,-320.58863639831543	1.030016303062439,1.0292514562606812,1.0266432762145996,0.6024346351623535,0.23015043139457703
240	-0.49164241552352905,-1.4852904081344604,-2.479548215866089,-3.1336488723754883,-3.2058863639831543	2.21,0.07250000000000001,2.1646302954617203	-45.41520178318024,-148.83383512496948,-247.86336421966553,-313.2124900817871,-320.34480571746826	1.093086838722229,1.0261107683181763,1.0232691764831543,0.6052225232124329,0.22948715090751648
240	-0.45415201783180237,-1.4883383512496948,-2.4786336421966553,-3.132124900817871,-3.2034480571746826	2.5,0.07499999999999996,2.154478425464375	-40.35552144050598,-148.3461618423462,-247.9243278503418,-313.0296230316162,-320.0400114059448	1.1267211437225342,1.0425803661346436,1.0204627513885498,0.6048519611358643,0.22776231169700623
240	-0.4035552144050598,-1.483461618423462,-2.479243278503418,-3.130296230316162,-3.2004001140594482	2.8,0.07250000000000001,2.0812551018433765	-35.38728058338165,-146.151602268219,-247.98526763916016,-312.8772258758545,-319.3084716796875	1.149986743927002,1.0716668367385864,1.018846869468689,0.603884756565094,0.21875575184822083
240	-0.35387280583381653,-1.46151602268219,-2.4798526763916016,-3.128772258758545,-3.193084716796875	3.09,0.07250000000000001,2.142551140203431	-31.211522221565247,-142.73784160614014,-247.58903980255127,-312.2371435165405,-319.21703815460205	1.1808264255523682,1.1013087034225464,1.0317574739456177,0.5891616344451904,0.2251082807779312
240	-0.31211522221565247,-1.4273784160614014,-2.4758903980255127,-3.1223714351654053,-3.1921703815460205	3.38,0.07250000000000001,2.2385797046584424	-27.157679200172424,-138.5316014289856,-246.2174415588379,-311.99328899383545,-319.46089267730713	1.2081505060195923,1.124017357826233,1.052941918373108,0.5930732488632202,0.2356524020433426
240	-0.27157679200172424,-1.385316014289856,-2.462174415588379,-3.1199328899383545,-3.1946089267730713	3.67,0.02749999999999997,2.247078985948152	-24.749760329723358,-133.99007320404053,-243.7180757522583,-311.96279525756836,-319.46089267730713	1.2021740674972534,1.1604924201965332,1.0727295875549316,0.6112462878227234,0.23649439215660095
240	-0.24749760329723358,-1.3399007320404053,-2.437180757522583,-3.1196279525756836,-3.1946089267730713	3.78,-0.04749999999999999,2.292966992047735	-25.603199005126953,-130.18008470535278,-240.3043270111084,-311.3227128982544,-319.5218324661255	1.1555930376052856,1.183328628540039,1.0950548648834229,0.6263432502746582,0.24145381152629852
240	-0.25603199005126953,-1.3018008470535278,-2.403043270111084,-3.113227128982544,-3.195218324661255	3.59,-0.04499999999999993,2.618784461838661	-27.52344012260437,-128.07697057724,-236.58576011657715,-310.164475440979,-321.10679149627686	1.1283609867095947,1.1789042949676514,1.1275906562805176,0.64384925365448,0.27932029962539673
240	-0.2752344012260437,-1.2807697057724,-2.3658576011657715,-3.10164475440979,-3.2110679149627686	3.41,-0.04749999999999999,2.5568540323148077	-29.778960347175598,-127.55880355834961,-232.83672332763672,-310.377836227417,-320.58863639831543	1.1011539697647095,1.1577234268188477,1.1512964963912964,0.7163950800895691,0.2715710997581482
240	-0.297789603471756,-1.275588035583496,-2.328367233276367,-3.10377836227417,-3.2058863639831543	3.22,-0.04500000000000004,2.8432066352567045	-32.369762659072876,-128.29031944274902,-230.55071830749512,-308.2747220993042,-321.71640396118164	1.0804522037506104,1.1408138275146484,1.1602542400360107,0.7357721328735352,0.30470746755599976
240	-0.32369762659072876,-1.2829031944274902,-2.305507183074951,-3.082747220993042,-3.2171640396118164	3.04,-0.04749999999999999,2.8964366694449275	-34.960559010505676,-129.60095405578613,-229.33151721954346,-307.6956033706665,-321.0763454437256	1.0535640716552734,1.1174362897872925,1.1511309146881104,0.7949756979942322,0.30878692865371704
240	-0.34960559010505676,-1.2960095405578613,-2.2933151721954346,-3.076956033706665,-3.210763454437256	2.85,-0.040000000000000036,3.1259808629177153	-37.49040067195892,-131.49073123931885,-229.17912006378174,-306.506872177124,-321.2897062301636	1.034205675125122,1.0979052782058716,1.1392545700073242,0.8045604825019836,0.3338851034641266
240	-0.37490400671958923,-1.3149073123931885,-2.2917912006378174,-3.0650687217712402,-3.2128970623016357	2.69,-0.020000000000000018,3.1219290305506657	-39.16679918766022,-133.5633635520935,-229.72776889801025,-306.47640228271484,-320.37527561187744	1.030373454093933,1.0741339921951294,1.120622992515564,0.827193021774292,0.3310091197490692
240	-0.3916679918766022,-1.335633635520935,-2.2972776889801025,-3.0647640228271484,-3.2037527561187744	2.61,-0.022499999999999964,3.229893949003642	-41.08704328536987,-135.66648960113525,-230.91650009155273,-306.0192108154297,-320.2838659286499	1.025916337966919,1.058395266532898,1.1038316488265991,0.8134824633598328,0.3422080874443054
240	-0.41087043285369873,-1.3566648960113525,-2.3091650009155273,-3.060192108154297,-3.202838659286499	2.52,-0.020000000000000018,3.1572485150755853	-42.82439947128296,-137.49529123306274,-232.44047164916992,-306.44593238830566,-319.46089267730713	1.0218333005905151,1.0412794351577759,1.0840097665786743,0.8124662637710571,0.332271009683609
240	-0.4282439947128296,-1.3749529123306274,-2.324404716491699,-3.0644593238830566,-3.1946089267730713	2.44,-0.020000000000000018,3.242599990925048	-44.622719287872314,-139.17168378829956,-234.17785167694092,-306.47640228271484,-319.82665061950684	1.0181418657302856,1.0348321199417114,1.0687835216522217,0.7844517827033997,0.34232544898986816
240	-0.44622719287872314,-1.3917168378829956,-2.341778516769409,-3.0647640228271484,-3.1982665061950684	2.36,-0.022499999999999964,3.143972733376988	-46.42104208469391,-140.81759452819824,-235.85424423217773,-307.4517488479614,-319.5523262023926	1.009333610534668,1.0283875465393066,1.051637887954712,0.7788075804710388,0.33114540576934814
240	-0.4642104208469391,-1.4081759452819824,-2.3585424423217773,-3.0745174884796143,-3.195523262023926	2.27,-0.01749999999999996,3.09812772681119	-48.097437620162964,-142.55496263504028,-237.4392032623291,-308.03089141845703,-319.79615688323975	1.0065912008285522,1.0240015983581543,1.0383877754211426,0.7536499500274658,0.32693925499916077
