1.05		7.44
1		7.36
0.9		7.3
0.8		7.25
0.68		7.23
0.86		7.23
0.86		7.14
0.84		7.07
0.84		6.98
0.83		6.9
0.78		6.85
0.73		6.8
0.68		6.76
0.73		7.23
0.72		7.16
0.72		7.09
0.7		7.03
0.68		6.97
0.65		6.91
0.61		6.85
0.57		6.81
0.51		6.76
0.53		6.76
0.54		6.73
0.55		6.7
0.57		6.66
1.06		7.45
1		7.37
0.91		7.3
0.8		7.25
0.68		7.23
0.86		7.23
0.86		7.15
0.85		7.07
0.84		6.98
0.83		6.9
0.78		6.85
0.73		6.8
0.68		6.77
0.73		7.23
0.73		7.16
0.72		7.09
0.7		7.03
0.69		6.97
0.66		6.91
0.61		6.86
0.57		6.81
0.52		6.77
0.53		6.77
0.54		6.73
0.55		6.7
0.57		6.66
1.06		7.45
1		7.37
0.91		7.31
0.8		7.26
0.68		7.23
0.87		7.23
0.86		7.15
0.85		7.07
0.85		6.98
0.83		6.9
0.78		6.85
0.73		6.81
0.68		6.77
0.73		7.23
0.73		7.16
0.72		7.1
0.71		7.04
0.69		6.97
0.66		6.91
0.61		6.86
0.57		6.81
0.52		6.77
0.53		6.77
0.55		6.73
0.56		6.7
0.58		6.66
1.06		7.45
1		7.37
0.91		7.31
0.8		7.26
0.69		7.23
0.87		7.23
0.86		7.15
0.85		7.07
0.85		6.99
0.84		6.9
0.79		6.85
0.74		6.81
0.69		6.77
0.73		7.23
0.73		7.17
0.72		7.1
0.71		7.04
0.69		6.97
0.66		6.91
0.62		6.86
0.57		6.81
0.52		6.77
0.53		6.77
0.55		6.74
0.56		6.7
0.58		6.66
1.06		7.46
1		7.38
0.91		7.31
0.8		7.26
0.69		7.24
0.87		7.24
0.86		7.16
0.85		7.08
0.85		6.99
0.84		6.9
0.79		6.85
0.74		6.81
0.69		6.77
0.73		7.24
0.73		7.17
0.73		7.1
0.71		7.04
0.69		6.98
0.66		6.91
0.62		6.86
0.57		6.81
0.52		6.77
0.53		6.77
0.55		6.74
0.56		6.7
0.58		6.66
1.06		7.46
1.01		7.38
0.91		7.32
0.81		7.27
0.69		7.24
0.87		7.24
0.87		7.16
0.85		7.08
0.85		6.99
0.84		6.91
0.79		6.86
0.74		6.81
0.7		6.77
0.73		7.24
0.73		7.17
0.73		7.1
0.71		7.04
0.69		6.98
0.66		6.92
0.62		6.86
0.58		6.81
0.53		6.77
0.54		6.77
0.55		6.74
0.57		6.71
0.59		6.66
1.07		7.46
1.01		7.38
0.92		7.32
0.81		7.27
0.69		7.24
0.87		7.24
0.87		7.16
0.86		7.08
0.86		6.99
0.84		6.91
0.8		6.86
0.75		6.81
0.7		6.77
0.74		7.24
0.73		7.17
0.73		7.1
0.71		7.05
0.69		6.98
0.66		6.92
0.62		6.86
0.58		6.81
0.53		6.77
0.54		6.77
0.56		6.74
0.57		6.71
0.59		6.66
1.07		7.47
1.01		7.39
0.92		7.32
0.81		7.27
0.69		7.25
0.87		7.25
0.87		7.16
0.86		7.08
0.86		6.99
0.85		6.91
0.8		6.86
0.75		6.81
0.7		6.77
0.74		7.25
0.74		7.18
0.73		7.11
0.71		7.05
0.69		6.98
0.67		6.92
0.62		6.87
0.58		6.82
0.53		6.77
0.54		6.77
0.56		6.74
0.57		6.71
0.6		6.66
1.07		7.47
1.01		7.39
0.92		7.32
0.81		7.27
0.7		7.25
0.88		7.25
0.87		7.17
0.86		7.09
0.86		7
0.85		6.91
0.8		6.86
0.75		6.81
0.7		6.77
0.74		7.25
0.74		7.18
0.73		7.11
0.71		7.05
0.69		6.98
0.67		6.92
0.63		6.87
0.58		6.82
0.53		6.77
0.54		6.77
0.56		6.74
0.57		6.71
0.6		6.66
1.07		7.47
1.01		7.39
0.92		7.33
0.81		7.28
0.7		7.25
0.88		7.25
0.87		7.17
0.86		7.09
0.86		7
0.85		6.91
0.8		6.86
0.76		6.82
0.71		6.77
0.74		7.25
0.74		7.18
